stroke_id,skeleton_length,num_skeleton_points,area,perimeter,scale,compactness,circularity,aspect_ratio,fourier_1,fourier_2,fourier_3,fourier_4,convexity,wetness,thickness,avg_gray,color_variance,position_saliency,centroid_x,centroid_y
0,0.04750942993255452,0.016165413533834588,0.0013136620856911887,0.01046048372670169,0.04053911030059778,0.46566283058233365,0.20007014293005404,0.5576363249562553,0.0,0.008210154936139283,0.019078430813969705,0.004275496709305839,0.5138719354471171,0.2444855724741315,0.0,0.0,0.0,0.03503766301042961,0.4,0.0
1,0.04508774312854954,0.019548872180451128,0.010206143896523849,0.014276868534179152,0.03624712105614902,0.5331210369153103,0.30204988648672976,0.16627087255574152,0.0,0.07420558105836708,0.019054304359817184,0.03552166224604636,0.5854478275459067,0.43901147570999477,0.0,0.0,0.0,0.02845224873921935,0.27169811320754716,0.019417475728155338
2,0.027737695782352446,0.008646616541353385,0.0006063055780113182,0.0037250816429043026,0.02245613195685689,0.667161569116195,0.43073128218749357,0.39034545133478954,0.0,0.018238084352870863,0.024205003644483112,0.007930609901102179,0.7521153198148565,0.42660048792798866,0.0,0.0,0.0,0.08520492266570405,0.690566037735849,0.014563106796116505
3,0.02124753025732324,0.010338345864661657,0.00010105092966855318,0.006256731792508822,0.012368986213280482,0.4394216002403382,0.277478599077239,0.09624957426509384,0.0,0.05101272156673285,0.024305706712336308,0.037491680807557555,0.4220988561570153,0.3514311044385916,0.0,0.0,0.0,0.14482758472682222,0.9924528301886792,0.022653721682847898
4,0.06358236197411238,0.01992481203007519,0.008488278092158448,0.01781934371336532,0.06546774016819765,0.49057963812639976,0.20180011978549267,0.5930173797964977,0.0,0.00576796472222566,0.01233920028597751,0.0032016573361043727,0.4896827397136995,0.4041360744713872,0.0,0.0,0.0,0.12527722350702356,0.8754716981132076,0.024271844660194174
5,0.0359516472647084,0.01729323308270677,0.009599838318512532,0.010019632556697222,0.0345938165133158,0.5376569393762616,0.4380628552316302,0.16244188547760507,0.0,0.09836220092455006,0.0545113251083061,0.02518632644805212,0.6733523179979561,0.520891907568197,0.0,0.0,0.0,0.11287719656724148,0.7433962264150944,0.03236245954692557
6,0.019170246536841698,0.012593984962406015,0.008589329021827,0.00926705227825918,0.015051676932624367,0.6933347568891837,0.4449832446833976,0.027881803860848098,0.0,0.25738099809326304,0.11392183260503796,0.15277642292705054,0.6962928452743082,0.6920525423932509,0.0,0.0,0.0,0.045429921608097765,0.3547169811320755,0.03236245954692557
7,0.01557527116521016,0.005075187969924812,0.0031325788197251424,0.003192927084040311,0.00901628019616426,0.7269081084193763,0.6354817498381637,0.06022472799876827,0.0,0.01793307122879355,0.03854946805690154,0.05401644662074264,0.8408669767478296,0.722152836647663,0.0,0.0,0.0,0.08871018124807672,0.6113207547169811,0.03398058252427185
8,0.009592409466654857,0.002819548872180452,0.0012126111560226364,0.0005321544242921743,0.0044871764942299615,0.8458315622196246,0.8278611283116813,0.07435151277966226,0.0,0.1318257376577249,0.06526484081553843,0.055127686434758155,0.8819380638793415,0.749044240673752,0.0,0.0,0.0,0.046973194849709146,0.27547169811320754,0.05501618122977347
9,0.02124753025732324,0.011654135338345865,0.00101050929668553,0.006477157377511056,0.007572175958747263,0.45012343740109545,0.30706686138611383,0.012122530023178701,0.0,0.2789561563148452,0.08760985107750328,0.025901086884777397,0.5224506832563345,0.4050643560191808,0.0,0.0,0.0,0.0854845667305939,0.47924528301886793,0.05825242718446602
10,0.03045342906031831,0.014661654135338348,0.00101050929668553,0.0062945508240783744,0.02136932886592722,0.4098579699836092,0.31453739988448526,0.17277582076759018,0.0,0.07899086271455498,0.08619160165362774,0.03492615533619732,0.5327024809776659,0.3436863800790781,0.0,0.0,0.0,0.13458314952862593,0.5584905660377358,0.09061488673139159
11,0.028492343378573474,0.009022556390977446,0.004951495553759094,0.005450667425924443,0.02348194754264215,0.7474118063417319,0.5389682325407579,0.234207241346235,0.0,0.052669226639619905,0.01883482151765763,0.0254275310500227,0.743403902566085,0.6030397352850454,0.0,0.0,0.0,0.06350074887601063,0.24528301886792453,0.09385113268608415
12,0.02115078953948924,0.005827067669172933,0.004446240905416329,0.0037250815083324854,0.01746177120563014,0.8285271143842019,0.663427619193505,0.18401994435195618,0.0,0.10827415867185401,0.015598334356897114,0.036233041150673086,0.8585337577469812,0.669138354424802,0.0,0.0,0.0,0.05165166920097579,0.1660377358490566,0.10194174757281554
13,0.04925814207172905,0.025375939849624066,0.012934518997574779,0.02057141949282934,0.04606001819869574,0.3055687294701507,0.21579737403499144,0.08559067765000278,0.0,0.10606788241620213,0.02876953350704384,0.04714440816718837,0.3484754040588071,0.3244384621855809,0.0,0.0,0.0,0.068808682991378,0.21509433962264152,0.1132686084142395
