,stroke_id,skeleton_length,num_skeleton_points,area,perimeter,scale,compactness,circularity,aspect_ratio,fourier_1,fourier_2,fourier_3,fourier_4,convexity,wetness,thickness,avg_gray,color_variance,position_saliency,centroid_x,centroid_y
count,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0
mean,63.5,0.07331086308618015,0.035526315789473684,0.029032405770008082,0.03604153052225241,0.07147260138014558,0.5307642173391626,0.3442863752265001,0.2679434174170167,0.0,0.1001517561614626,0.048098356841495826,0.045732302710577495,0.5524263489262451,0.424346684241401,0.0,0.0,0.0,0.26866146486994635,0.4377948113207547,0.46986245954692557
std,37.094473981982816,0.13935558504072504,0.109858927694724,0.10904547768995045,0.11743444459651804,0.1470036097212424,0.21575743605514555,0.20994634385923522,0.21990886586606662,0.0,0.1443519455458139,0.09705948215511097,0.09638602954728157,0.21134595325534172,0.21540916907050758,0.0,0.0,0.0,0.21486888247941044,0.2621799609742057,0.29194998156284785
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,31.75,0.02122334507786474,0.008223684210526317,0.0018694421988682294,0.0049775355723124795,0.016568391250589384,0.3842266108948398,0.21390284904918666,0.08510437465383242,0.0,0.031183542800140126,0.013286586878754756,0.013887368101631322,0.44007091076210714,0.2602787358739239,0.0,0.0,0.0,0.10995137308339384,0.22264150943396227,0.23786407766990292
50%,63.5,0.03428929007262816,0.0125,0.00530517380759903,0.00931270397268894,0.03003895614336913,0.5265266485715147,0.3007121445963101,0.19969896138731746,0.0,0.05387279942701516,0.02590619242572835,0.02739833405376471,0.5510580562951943,0.41167450986669685,0.0,0.0,0.0,0.21501723715409513,0.44528301886792454,0.43284789644012944
75%,95.25,0.05938457717555477,0.02100563909774436,0.010660873080032336,0.01843888507172941,0.05597866534520113,0.6933387258706907,0.4494449183201199,0.3778981857707367,0.0,0.10658098552813278,0.05504912197874044,0.04656481875470932,0.6861089843622007,0.5655397853597568,0.0,0.0,0.0,0.37236813397561647,0.6386792452830188,0.6727346278317152
max,127.0,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,1.0
